specimen,length,weight,structure_weight,read_age,expected_age,average_grade,sample_date,hatch_date,percent_affected,other_problem,broken,side,common_name,run_number,scan_name,file_name,session_title,comments
1,105,10,0.0077,,,,8/3/20,,0,0,0,R,PACIFIC COD,1,LPW202001202_1_OA1,PACIFIC_COD_LPW202001202_1_OA1.0,NIR_LPW202001202_otoliths,
1,105,10,0.0077,,,,8/3/20,,0,0,0,R,PACIFIC COD,2,LPW202001202_1_OA2,PACIFIC_COD_LPW202001202_1_OA2.0,NIR_LPW202001202_otoliths_rescan_1,
1,105,10,0.0077,,,,8/3/20,,10,0,1,R,PACIFIC COD,3,LPW202001202_1_OA3,PACIFIC_COD_LPW202001202_1_OA3.0,NIR_LPW202001202_otoliths_rescan_2,"~5% chipped, otolith dropped after measurement"
1,105,10,0.0077,,,,8/3/20,,10,0,1,R,PACIFIC COD,4,LPW202001202_1_OA4,PACIFIC_COD_LPW202001202_1_OA4.0,NIR_LPW202001202_otoliths_rescan_3,Otolith is broken. Was not in first photo
2,85,4,0.0067,129,,2.5,8/3/20,,0,0,0,L,PACIFIC COD,1,LPW202001202_2_OA1,PACIFIC_COD_LPW202001202_2_OA1.0,NIR_LPW202001202_otoliths,
2,85,4,0.0067,129,,2.5,8/3/20,,0,0,0,L,PACIFIC COD,2,LPW202001202_2_OA2,PACIFIC_COD_LPW202001202_2_OA2.0,NIR_LPW202001202_otoliths_rescan_1,
2,85,4,0.0067,129,,2.5,8/3/20,,0,0,0,L,PACIFIC COD,3,LPW202001202_2_OA3,PACIFIC_COD_LPW202001202_2_OA3.0,NIR_LPW202001202_otoliths_rescan_2,
2,85,4,0.0067,129,,2.5,8/3/20,,0,0,0,L,PACIFIC COD,4,LPW202001202_2_OA4,PACIFIC_COD_LPW202001202_2_OA4.0,NIR_LPW202001202_otoliths_rescan_3,
3,96,7,0.0073,,,,8/3/20,,0,0,0,R,PACIFIC COD,1,LPW202001202_3_OA1,PACIFIC_COD_LPW202001202_3_OA1.0,NIR_LPW202001202_otoliths,
3,96,7,0.0073,,,,8/3/20,,0,0,0,R,PACIFIC COD,2,LPW202001202_3_OA2,PACIFIC_COD_LPW202001202_3_OA2.0,NIR_LPW202001202_otoliths_rescan_1,
3,96,7,0.0073,,,,8/3/20,,0,0,0,R,PACIFIC COD,3,LPW202001202_3_OA3,PACIFIC_COD_LPW202001202_3_OA3.0,NIR_LPW202001202_otoliths_rescan_2,
3,96,7,0.0073,,,,8/3/20,,0,0,0,R,PACIFIC COD,4,LPW202001202_3_OA4,PACIFIC_COD_LPW202001202_3_OA4.0,NIR_LPW202001202_otoliths_rescan_3,
4,89,5,0.0068,109,,2,8/3/20,,0,0,0,L,PACIFIC COD,1,LPW202001202_4_OA1,PACIFIC_COD_LPW202001202_4_OA1.0,NIR_LPW202001202_otoliths,
4,89,5,0.0068,109,,2,8/3/20,,0,0,0,L,PACIFIC COD,2,LPW202001202_4_OA2,PACIFIC_COD_LPW202001202_4_OA2.0,NIR_LPW202001202_otoliths_rescan_1,
4,89,5,0.0068,109,,2,8/3/20,,0,0,0,L,PACIFIC COD,3,LPW202001202_4_OA3,PACIFIC_COD_LPW202001202_4_OA3.0,NIR_LPW202001202_otoliths_rescan_2,
4,89,5,0.0068,109,,2,8/3/20,,0,0,0,L,PACIFIC COD,4,LPW202001202_4_OA4,PACIFIC_COD_LPW202001202_4_OA4.0,NIR_LPW202001202_otoliths_rescan_3,
5,108,10,0.0096,,,,8/3/20,,0,0,0,L,PACIFIC COD,1,LPW202001202_5_OA1,PACIFIC_COD_LPW202001202_5_OA1.0,NIR_LPW202001202_otoliths,
5,108,10,0.0096,,,,8/3/20,,0,0,0,L,PACIFIC COD,2,LPW202001202_5_OA2,PACIFIC_COD_LPW202001202_5_OA2.0,NIR_LPW202001202_otoliths_rescan_1,
5,108,10,0.0096,,,,8/3/20,,0,0,0,L,PACIFIC COD,3,LPW202001202_5_OA3,PACIFIC_COD_LPW202001202_5_OA3.0,NIR_LPW202001202_otoliths_rescan_2,
